date,Sweet,Savory,Other
2021-01-02,170.0,308.0,103.0
2021-01-03,158.0,323.0,83.0
2021-01-04,48.0,219.0,48.0
2021-01-05,45.0,207.0,57.0
2021-01-07,54.0,202.0,54.0
2021-01-08,81.0,169.0,66.0
2021-01-09,89.0,236.0,69.0
2021-01-10,147.0,266.0,60.0
2021-01-11,55.0,186.0,50.0
2021-01-12,56.0,154.0,48.0
2021-01-14,66.0,163.0,58.0
2021-01-15,80.0,167.0,75.0
2021-01-16,76.0,231.0,72.0
2021-01-17,134.0,296.0,77.0
2021-01-18,56.0,174.0,55.0
2021-01-19,57.0,172.0,57.0
2021-01-21,26.0,180.0,60.0
2021-01-22,80.0,170.0,76.0
2021-01-23,85.0,201.0,77.0
2021-01-24,96.0,274.0,118.0
2021-01-25,57.0,176.0,74.0
2021-01-26,62.0,173.0,70.0
2021-01-28,51.0,161.0,61.0
2021-01-29,58.0,169.0,84.0
2021-01-30,83.0,233.0,95.0
2021-01-31,154.0,270.0,125.0
2021-02-01,32.0,148.0,59.0
2021-02-02,35.0,173.0,60.0
2021-02-04,55.0,198.0,65.0
2021-02-05,69.0,212.0,90.0
2021-02-06,95.0,225.0,105.0
2021-02-07,140.0,292.0,124.0
2021-02-08,55.0,177.0,78.0
2021-02-09,43.0,199.0,98.0
2021-02-11,51.0,158.0,53.0
2021-02-12,51.0,164.0,77.0
2021-02-13,88.0,236.0,95.0
2021-02-14,189.0,350.0,170.0
2021-02-15,42.0,225.0,62.0
2021-02-16,54.0,208.0,60.0
2021-02-18,37.0,195.0,59.0
2021-02-19,77.0,245.0,101.0
2021-02-20,76.0,302.0,109.0
2021-02-21,211.0,447.0,194.0
2021-02-22,117.0,338.0,97.0
2021-02-23,130.0,350.0,108.0
2021-02-25,115.0,372.0,98.0
2021-02-26,161.0,386.0,163.0
2021-02-27,147.0,553.0,203.0
2021-02-28,315.0,701.0,267.0
2021-03-01,93.0,352.0,93.0
2021-03-02,67.0,380.0,135.0
2021-03-04,82.0,370.0,130.0
2021-03-05,104.0,369.0,139.0
2021-03-06,127.0,454.0,143.0
2021-03-07,206.0,479.0,187.0
2021-03-08,57.0,243.0,91.0
2021-03-09,70.0,274.0,91.0
2021-03-11,83.0,257.0,92.0
2021-03-12,93.0,270.0,130.0
2021-03-13,135.0,330.0,173.0
2021-03-14,192.0,487.0,185.0
2021-03-15,72.0,251.0,87.0
2021-03-16,85.0,279.0,109.0
2021-03-18,38.0,185.0,90.0
2021-03-19,79.0,212.0,102.0
2021-03-20,107.0,379.0,138.0
2021-03-21,151.0,405.0,203.0
2021-03-22,61.0,259.0,77.0
2021-03-23,51.0,215.0,80.0
2021-03-25,51.0,263.0,90.0
2021-03-26,92.0,252.0,117.0
2021-03-27,60.0,276.0,132.0
2021-03-28,138.0,407.0,182.0
2021-03-29,39.0,259.0,92.0
2021-03-30,76.0,280.0,110.0
2021-04-01,55.0,226.0,85.0
2021-04-02,82.0,305.0,132.0
2021-04-03,151.0,459.0,137.0
2021-04-04,268.0,712.0,323.0
2021-04-05,108.0,452.0,146.0
2021-04-06,70.0,302.0,117.0
2021-04-08,70.0,293.0,83.0
2021-04-09,39.0,255.0,110.0
2021-04-10,112.0,318.0,144.0
2021-04-11,130.0,436.0,173.0
2021-04-12,60.0,306.0,120.0
2021-04-13,88.0,300.0,117.0
2021-04-14,64.0,226.0,79.0
2021-04-15,56.0,272.0,102.0
2021-04-16,90.0,311.0,141.0
2021-04-17,154.0,352.0,135.0
2021-04-18,217.0,554.0,227.0
2021-04-19,69.0,269.0,91.0
2021-04-20,100.0,351.0,121.0
2021-04-21,78.0,272.0,70.0
2021-04-22,87.0,377.0,136.0
2021-04-23,70.0,314.0,126.0
2021-04-24,144.0,422.0,143.0
2021-04-25,247.0,507.0,210.0
2021-04-26,93.0,260.0,77.0
2021-04-27,62.0,237.0,82.0
2021-04-28,73.0,241.0,85.0
2021-04-29,61.0,265.0,104.0
2021-04-30,70.0,261.0,115.0
2021-05-01,116.0,410.0,145.0
2021-05-02,189.0,502.0,177.0
2021-05-03,79.0,282.0,128.0
2021-05-04,46.0,290.0,97.0
2021-05-05,106.0,299.0,98.0
2021-05-06,64.0,262.0,102.0
2021-05-07,86.0,293.0,141.0
2021-05-08,167.0,456.0,183.0
2021-05-09,176.0,572.0,257.0
2021-05-10,69.0,286.0,108.0
2021-05-11,71.0,281.0,96.0
2021-05-12,85.0,400.0,160.0
2021-05-13,178.0,616.0,259.0
2021-05-14,278.0,690.0,233.0
2021-05-15,318.0,758.0,228.0
2021-05-16,407.0,677.0,321.0
2021-05-21,63.0,197.0,103.0
2021-05-22,190.0,456.0,157.0
2021-05-23,317.0,674.0,281.0
2021-05-24,270.0,553.0,180.0
2021-05-25,94.0,282.0,110.0
2021-05-26,24.0,230.0,83.0
2021-05-27,60.0,246.0,106.0
2021-05-28,76.0,263.0,136.0
2021-05-29,149.0,405.0,132.0
2021-05-30,211.0,546.0,209.0
2021-05-31,51.0,264.0,109.0
2021-06-01,52.0,262.0,100.0
2021-06-02,60.0,201.0,95.0
2021-06-03,45.0,205.0,111.0
2021-06-04,108.0,282.0,135.0
2021-06-05,145.0,364.0,154.0
2021-06-06,238.0,557.0,204.0
2021-06-07,66.0,252.0,97.0
2021-06-08,97.0,242.0,120.0
2021-06-09,81.0,218.0,103.0
2021-06-10,72.0,243.0,82.0
2021-06-11,81.0,240.0,141.0
2021-06-12,152.0,380.0,110.0
2021-06-13,260.0,604.0,199.0
2021-06-14,72.0,296.0,112.0
2021-06-15,93.0,243.0,115.0
2021-06-16,81.0,253.0,100.0
2021-06-17,62.0,234.0,82.0
2021-06-18,76.0,253.0,109.0
2021-06-19,117.0,392.0,145.0
2021-06-20,243.0,547.0,214.0
2021-06-21,62.0,319.0,120.0
2021-06-22,78.0,261.0,106.0
2021-06-23,44.0,234.0,108.0
2021-06-24,85.0,305.0,123.0
2021-06-25,83.0,271.0,134.0
2021-06-26,146.0,397.0,120.0
2021-06-27,259.0,615.0,218.0
2021-06-28,71.0,273.0,100.0
2021-06-29,58.0,249.0,108.0
2021-06-30,45.0,284.0,96.0
2021-07-01,84.0,278.0,191.0
2021-07-02,81.0,261.0,113.0
2021-07-03,144.0,449.0,166.0
2021-07-04,214.0,563.0,205.0
2021-07-05,92.0,357.0,133.0
2021-07-06,102.0,320.0,134.0
2021-07-07,94.0,333.0,137.0
2021-07-08,94.0,375.0,136.0
2021-07-09,114.0,399.0,186.0
2021-07-10,200.0,564.0,192.0
2021-07-11,307.0,747.0,313.0
2021-07-12,165.0,607.0,181.0
2021-07-13,136.0,509.0,196.0
2021-07-14,204.0,680.0,261.0
2021-07-15,195.0,581.0,200.0
2021-07-16,164.0,530.0,196.0
2021-07-17,305.0,737.0,208.0
2021-07-18,350.0,613.0,280.0
2021-07-19,183.0,623.0,176.0
2021-07-20,187.0,542.0,199.0
2021-07-21,137.0,526.0,210.0
2021-07-22,162.0,517.0,219.0
2021-07-23,191.0,515.0,241.0
2021-07-24,302.0,663.0,226.0
2021-07-25,340.0,764.0,283.0
2021-07-26,152.0,626.0,225.0
2021-07-27,140.0,543.0,194.0
2021-07-28,205.0,561.0,160.0
2021-07-29,136.0,562.0,189.0
2021-07-30,170.0,550.0,242.0
