date,t_max,t_min,rain
2021-01-01,3.6,-1.4,0.0
2021-01-02,3.5,-2.0,0.0
2021-01-03,3.7,1.2,0.2
2021-01-04,2.9,1.5,0.3
2021-01-05,3.3,1.4,0.5
2021-01-06,3.8,1.7,0.6
2021-01-07,3.9,-0.5,0.5
2021-01-08,3.5,-1.1,0.0
2021-01-09,3.6,-2.3,0.0
2021-01-10,3.3,-2.6,0.0
2021-01-11,5.2,-2.8,0.0
2021-01-12,9.3,4.1,9.1
2021-01-13,10.1,5.3,1.8
2021-01-14,10.4,7.4,5.7
2021-01-15,5.9,0.6,0.7
2021-01-16,5.3,-0.9,7.2
2021-01-17,6.7,2.5,1.0
2021-01-18,7.6,1.2,0.0
2021-01-19,7.5,4.8,5.1
2021-01-20,12.5,5.9,0.3
2021-01-21,11.7,6.1,9.5
2021-01-22,9.7,3.6,5.4
2021-01-23,5.8,1.2,5.6
2021-01-24,3.2,-0.9,3.3
2021-01-25,4.9,0.4,0.4
2021-01-26,4.4,-0.5,0.3
2021-01-27,8.4,2.5,4.2
2021-01-28,14.2,8.2,8.4
2021-01-29,11.9,8.3,3.6
2021-01-30,12.6,6.3,11.9
2021-01-31,10.6,7.7,10.6
2021-02-01,10.4,5.4,2.2
2021-02-02,14.3,5.4,2.2
2021-02-03,12.8,7.3,4.6
2021-02-04,11.6,5.8,2.5
2021-02-05,11.1,6.8,0.3
2021-02-06,8.9,6.6,16.5
2021-02-07,7.1,0.8,3.9
2021-02-08,0.9,-1.3,0.2
2021-02-09,-0.5,-3.6,0.2
2021-02-10,-0.7,-5.3,2.6
2021-02-11,1.0,-5.7,0.0
2021-02-12,1.5,-4.0,0.0
2021-02-13,0.3,-5.6,0.0
2021-02-14,3.6,-5.4,0.0
2021-02-15,8.1,1.3,4.0
2021-02-16,12.3,4.4,1.3
2021-02-17,12.3,6.8,0.0
2021-02-18,11.8,6.2,6.8
2021-02-19,14.3,4.3,0.0
2021-02-20,17.7,8.2,0.0
2021-02-21,17.1,6.9,0.0
2021-02-22,16.7,7.2,0.3
2021-02-23,17.5,10.5,0.0
2021-02-24,18.7,9.4,0.0
2021-02-25,16.8,8.3,0.1
2021-02-26,11.4,5.4,3.1
2021-02-27,10.3,1.6,0.0
2021-02-28,11.1,1.9,0.0
2021-03-01,13.4,0.8,0.0
2021-03-02,16.7,1.4,0.0
2021-03-03,17.3,5.6,1.1
2021-03-04,11.9,6.6,0.7
2021-03-05,6.2,3.5,0.0
2021-03-06,8.6,-0.5,0.0
2021-03-07,9.0,-3.2,0.0
2021-03-08,7.4,-2.0,0.0
2021-03-09,11.1,-0.4,0.1
2021-03-10,9.5,1.6,1.4
2021-03-11,13.7,7.0,2.5
2021-03-12,11.7,4.7,5.2
2021-03-13,10.3,4.8,6.7
2021-03-14,10.8,3.5,1.9
2021-03-15,11.0,6.2,5.5
2021-03-16,10.0,3.7,3.1
